41,Cu-rich allophane,"[H, O, Al, Si, Cu]","[29.27, 48.73, 9.81, 8.19, 4]",quartz and silicates,kaolinite-montmorillonite
42,cuprite,"[O, Cu]","[33.33, 66.67]",oxides,cuprite-zinkite-tenorite
43,cyanotrichite,"[H, O, Al, S, Cu]","[39.02, 43.90, 4.88, 2.44, 9.76]","sulphates, chromates, molybdates and wolframates",alaun-chalkantite
44,delafossite,"[O, Fe, Cu]","[50.00, 25.00, 25.00]",oxides,cuprite-zinkite-tenorite
45,derriksite,"[H, O, Cu, Se, U]","[22.22, 51.85, 14.81, 7.41, 3.70]",oxides,uraninite-ianthinite
46,descloizite,"[H, O, V, Zn, Pb]","[11.11, 55.56, 11.11, 11.11, 11.11]","phosphates, arsenates and vanadates",pyromorphite-adamine
47,devilline,"[H, O, S, Ca, Cu]","[33.33, 47.22, 5.56, 2.78, 11.11]","sulphates, chromates, molybdates and wolframates",alaun-chalkantite
48,digenite,"[S, Cu]","[35.71, 64.29]",sulfides,chalcosite
49,dioptase,"[H, O, Si, Cu]","[25, 50, 12.5, 12.5]","quartz and silicates
","zeolite"
50,duftite,"[H, O, Cu, As, Pb]","[11.11, 55.56, 11.11, 11.11, 11.11]","phosphates, arsenates and vanadates",pyromorphite-adamine
51,emplektite,"[S, Cu, Bi]","[50.00, 25.00, 25.00]",sulfides,tetrahedrite-bournonite-boulangerite
52,enargite,"[S, Cu, As]","[50, 37.5, 12.5]","sulfides
","Tetrahedrite-bournonite-boulangerite"
53,euchroite,"[H, O, Cu, As]","[38.89, 44.44, 11.11, 5.56]","phosphates, arsenates and vanadates",turquoise-olivenite
54,fornacite,"[H, O, Cr, Cu, As, Pb]","[6.67, 60.00, 10.00, 5.00, 3.33, 15.00]","sulphates, chromates, molybdates and wolframates",krokoite-wulfenite-scheelite
55,freibergite,"[S, Fe, Cu, Zn, Ag, Sb]","[43.86, 5.26, 15.79, 1.75, 19.30, 14.04]",sulfides,tetrahedrite-bournonite-boulangerite
56,germanite,"[S, Fe, Cu, Ge]","[48.8, 6.06, 39.39, 6.06]",sulfides,tetrahedrite-bournonite-boulangerite
57,gilalite,"[H, O, Si, Cu]","[28.57, 49.98, 12.24, 10.20]",quartz and silicates,zeolite
58,gladite,"[S, Cu, Pb, Bi]","[56.25, 6.25, 6.25, 31.25]",sulfides,tetrahedrite-bournonite-boulangerite
59,glaukosphaerite,"[H, C, O, Ni, Cu]","[20, 10, 50, 5, 15]",carbonates,cerussite-malachite-hydrozinkite
60,goudeyite,"[H, O, Al, Cu, As, Y]","[27.91, 48.84, 1.74, 13.95, 6.98, 0.58]","phosphates, arsenates and vanadates",turquoise-olivenite
61,gowerite,"[H, B, O, Ca]","[31.25, 18.75, 46.88, 3.13]",borates and nitrates,colemanite-uralborite
62,halloysite,"[H, O, Al, Si]","[23.53, 52.94, 11.76, 11.76]",quartz and silicates,kaolinite-montmorillonite
63,idaite,"[S, Fe, Cu]","[50, 12.5, 37.5]",sulfides,chalcosite
64,kinoite,"[H, O, Si, Ca, Cu]","[17.39, 52.17, 13.04, 8.7, 8.7]",quartz and silicates,hemimorphite
65,klinoklas,"[H, O, Cu, As]","[21.43, 50, 21.43, 7.14]","phosphates, arsenates and vanadates",turquoise-olivenite
66,konichalcite,"[H, O, Ca, Cu, As]","[11.11, 55.56, 11.11, 11.11, 11.11]","phosphates, arsenates and vanadates",turquoise-olivenite
67,kroehnkite,"[H, O, Na, S, Cu]","[21.05, 52.63, 10.53, 10.53, 5.26]","sulphates, chromates, molybdates and wolframates",alaun-chalkantite
68,krupkaite,"[S, Cu, Pb, Bi]","[54.55, 9.09, 9.09, 27.27]",sulfides,tetrahedrite-bournonite-boulangerite
69,krutaite,"[Cu, Se]","[33.33, 66.67]",sulfides,"chalcosite"
70,langite,"[H, O, S, Cu]","[37.04, 44.44, 3.7, 14.81]","sulphates, chromates, molybdates and wolframates",alaun-chalkantite
71,lavendulan,"[H, O, Na, Cl, Ca, Cu, As]","[23.26, 48.84, 2.33, 2.33, 2.33, 11.63, 9.3]","phosphates, arsenates and vanadates",turquoise-olivenite
72,libethenite,"[H, O, P, Cu]","[11.11, 55.56, 11.11, 22.22]","phosphates, arsenates and vanadates",turquoise-olivenite
73,lindgrenite,"[H, O, Cu, Mo]","[11.76, 58.82, 17.65, 11.76]","sulphates, chromates, molybdates and wolframates",krokoite-wulfenite-scheelite
74,malachite,"[H, C, O, Cu]","[20, 10, 50, 20]",carbonates,cerussite-malachite-hydrozinkite
75,melanterite,"[H, O, S, Fe]","[51.85, 40.74, 3.7, 3.7]","sulphates, chromates, molybdates and wolframates",alaun-chalkantite
76,metatorbernite,"[H, O, P, Cu, U]","[39.02, 48.78, 4.88, 2.44, 4.88]","phosphates, arsenates and vanadates",torbernite-carnotite-annabergite
77,mixite,"[H, O, Cu, As, Bi]","[27.91, 48.84, 13.95, 6.98, 2.33]","phosphates, arsenates and vanadates",turquoise-olivenite
78,mottramite,"[H, O, V, Cu, Pb]","[11.11, 55.56, 11.11, 11.11, 11.11]","phosphates, arsenates and vanadates",pyromorphite-adamine
79,nakauriite,"[H, C, O, S, Cu]","[54.26, 0.53, 38.83, 2.13, 4.26]","sulphates, chromates, molybdates and wolframates",
80,natrochalcite,"[H, O, Na, S, Cu]","[16.67, 55.56, 5.56, 11.11, 11.11]","sulphates, chromates, molybdates and wolframates",alaun-chalkantite
81,olivenite,"[H, O, Cu, As]","[11.11, 55.56, 22.22, 11.11]","phosphates, arsenates and vanadates",turquoise-olivenite
82,paratacamite,"[H, O, Cl, Cu, Zn]","[33.33, 33.33, 11.11, 20.83, 1.39]",halides,chlorargyrite-atacamite
83,parnauite,"[H, O, S, Cu, As]","[36.92, 44.62, 1.54, 13.85, 3.08]","phosphates, arsenates and vanadates",turquoise-olivenite
84,penroseite,"[Co, Ni, Cu, Se]","[10, 20, 3.33, 66.67] ",sulfides,Pyrrhotine-pentlandite
85,plancheite,"[H, O, Si, Cu]","[12.24, 55.10, 16.33, 16.33]",quartz and silicates,zeolite
86,posnjakite,"[H, O, S, Cu]","[33.33, 45.83, 4.17, 16.67]","sulphates, chromates, molybdates and wolframates",alaun-chalkantite
87,pseudomalachite,"[H, O, P, Cu]","[17.39, 52.17, 8.7, 21.74]","phosphates, arsenates and vanadates",turquoise-olivenite
88,richelsdorfite,"[H, O, Cl, Ca, Cu, As, Sb]","[30.51, 47.46, 1.69, 3.39, 8.47, 6.78, 1.69]","phosphates, arsenates and vanadates",
89,rosasite,"[H, C, O, Cu, Zn]","[20,10,50,15, 5]",carbonates,cerussite-malachite-hydrozinkite
90,schulenbergite,"[H, C, O, S, Cu, Zn]","[35.16, 1.1, 45.05, 3.3, 11.54, 3.85]","sulphates, chromates, molybdates and wolframates",
91,schwazite,"[S, Cu, Sb, Hg]","[44.83, 31.03, 13.79, 10.34]",sulfides,tetrahedrite-bournonite-boulangerite
92,seligmannite,"[S, Cu, As, Pb]","[50,16.67, 16.67, 16.67]",sulfides,tetrahedrite-bournonite-boulangerite
93,serpierte,"[H, O, S, Ca, Cu, Zn]","[33.33, 47.22, 5.56, 2.78, 8.33, 2.78]","sulphates, chromates, molybdates and wolframates",alaun-chalkantite
94,shattuckite,"[H, O, Si, Cu]","[8, 56, 16, 20]",quartz and silicates,zeolite
95,stannine,"[S, Fe, Cu, Sn]","[50, 12.5, 25, 12.5]",sulfides,chalcopyrite-bornite
96,strashimirite,"[H, O, Cu, As]","[27.45, 49.02, 15.69, 7.84]","phosphates, arsenates and vanadates",turquoise-olivenite
97,stromeyerite,"[S, Cu, Ag]","[33.33, 33.33, 33.33]",sulfides,argentite
98,tenorite,"[O, Cu]","[50, 50]",oxides,cuprite-zinkite-tenorite
99,tetrahedrite,"[S, Fe, Cu, Zn, Sb]","[44.83, 5.17, 34.48, 1.72, 13.79]",sulfides,tetrahedrite-bournonite-boulangerite
100,tsumebite,"[H, O, P, S, Cu, Pb]","[6.67, 60, 6.67, 6.67, 6.67, 13.33]","phosphates, arsenates and vanadates",pyromorphite-adamine
101,turquoise,"[H, O, Al, P, Cu]","[29.09, 50.91, 10.91, 7.27, 1.82]","phosphates, arsenates and vanadates",turquoise-olivenite
102,tyrolite,"[H, C, O, Ca, Cu, As]","[37.29, 1.13, 44.63, 2.26, 10.17, 4.52]","phosphates, arsenates and vanadates",turquoise-olivenite
103,umangite,"[Cu, Se]","[60,40]",sulfides,chalcosite
104,vauquelinite,"[H, O, P, Cr, Cu, Pb]","[6.67, 60, 6.67, 6.67, 6.67, 13.33]","sulphates, chromates, molybdates and wolframates",krokoite-wulfenite-scheelite
105,vesuvianite,"[H, O, F, Na, Mg, Al, Si, Ca, Fe]","[4.48, 55.97, 2.24, 3.54, 2.91, 5.82, 13.43, 10.63, 0.97]",quartz and silicates,epidote-vesuvianite
106,volborthite,"[H, O, V, Cu]","[27.27, 50, 9.09, 13.64]","phosphates, arsenates and vanadates",pyromorphite-adamine
107,woodwardite,"[H, O, Al, S, Cu]","[39.85, 42.91, 3.83, 1.92, 11.49]","sulphates, chromates, molybdates and wolframates",
108,zeunerite,"[H, O, Cu, As, U]","[46.43, 44.64, 1.70, 3.57, 3.57]","phosphates, arsenates and vanadates",torbernite-carnotite-annabergite
